Date Time,p (mbar),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),SWDR (W/m?,PAR (µmol/m?s),Tlog (degC),T (degC)
01.01.2021 02:30:00,978.42,0.16,100,6.18,6.18,0,3.94,6.32,1244.11,0.83,1.39,185.3,0.06,0,12.55,0.16
01.01.2021 02:40:00,978.41,0.03,100,6.12,6.12,0,3.9,6.26,1244.72,0.92,1.81,198.2,0.1,0,12.5,0.03
01.01.2021 02:50:00,978.44,-0.01,100,6.1,6.1,0,3.89,6.24,1244.94,0.63,1,205.7,0.12,0,12.43,-0.01
01.01.2021 03:00:00,978.47,0,100,6.11,6.11,0,3.89,6.24,1244.95,0.92,1.69,200.6,0.1,0,12.36,0
01.01.2021 03:10:00,978.47,0,100,6.11,6.11,0,3.89,6.24,1244.96,0.84,1.39,204.5,0.09,0,12.3,0
01.01.2021 03:20:00,978.48,0,100,6.11,6.11,0,3.89,6.24,1244.96,1.09,1.51,201.2,0.09,0,12.24,0
01.01.2021 03:30:00,978.53,0,100,6.11,6.11,0,3.89,6.24,1245,1.01,1.62,211.3,0.06,0,12.17,0.01
01.01.2021 03:40:00,978.55,0.03,100,6.12,6.12,0,3.9,6.26,1244.9,0.75,1.11,216.8,0.05,0,12.11,0.03
01.01.2021 03:50:00,978.52,0.06,100,6.14,6.14,0,3.91,6.27,1244.71,0.97,1.49,216.8,0.02,0,12.06,0.06
01.01.2021 04:00:00,978.51,0.11,100,6.16,6.16,0,3.92,6.29,1244.47,1.16,2,220.2,0,0,12.02,0.11
01.01.2021 04:10:00,978.53,0.14,100,6.17,6.17,0,3.93,6.31,1244.35,1.08,1.45,224.3,0,0,11.98,0.14
01.01.2021 04:20:00,978.51,0.2,100,6.2,6.2,0,3.95,6.34,1244.02,0.72,1.3,195.6,0,0,11.93,0.2
01.01.2021 04:30:00,978.45,0.28,100,6.24,6.24,0,3.97,6.37,1243.56,1.02,1.55,196.2,0,0,11.9,0.28
01.01.2021 04:40:00,978.44,0.24,100,6.21,6.21,0,3.96,6.35,1243.78,1.53,1.96,211.5,0,0,11.86,0.24
01.01.2021 04:50:00,978.5,0.16,100,6.18,6.18,0,3.94,6.31,1244.22,1.58,2.27,215,0,0,11.81,0.16
01.01.2021 05:00:00,978.43,0.17,100,6.18,6.18,0,3.94,6.32,1244.09,1.33,2.22,199,0,0,11.73,0.17
01.01.2021 05:10:00,978.41,0.17,100,6.18,6.18,0,3.94,6.32,1244.07,1.98,2.69,203.2,0,0,11.65,0.17
01.01.2021 05:20:00,978.41,0.21,100,6.2,6.2,0,3.95,6.34,1243.87,2.1,2.8,212.6,0,0,11.57,0.21
01.01.2021 05:30:00,978.45,0.3,100,6.24,6.24,0,3.98,6.38,1243.5,1.88,2.52,194.2,0,0,11.49,0.3
01.01.2021 05:40:00,978.47,0.34,100,6.26,6.26,0,3.99,6.4,1243.34,1.35,2.49,206,0,0,11.42,0.34
01.01.2021 05:50:00,978.49,0.35,100,6.26,6.26,0,3.99,6.4,1243.32,1.34,1.86,207.4,0,0,11.38,0.35
01.01.2021 06:00:00,978.46,0.42,100,6.3,6.3,0,4.01,6.44,1242.94,0.87,1.61,205.5,0,0,11.36,0.42
01.01.2021 06:10:00,978.48,0.48,100,6.32,6.32,0,4.03,6.46,1242.68,0.71,1.54,198.4,0,0,11.38,0.48
01.01.2021 06:20:00,978.61,0.43,100,6.3,6.3,0,4.02,6.44,1243.06,1.57,1.99,202.5,0,0,11.42,0.43
01.01.2021 06:30:00,978.75,0.38,100,6.28,6.28,0,4,6.42,1243.47,1.68,2.24,210.6,0,0,11.45,0.38
01.01.2021 06:40:00,978.79,0.38,100,6.28,6.28,0,4,6.42,1243.52,1.56,2.05,203.3,0,0,11.45,0.38
01.01.2021 06:50:00,978.89,0.37,100,6.28,6.28,0,4,6.41,1243.69,1.46,2.13,207.4,0,0,11.45,0.37
01.01.2021 07:00:00,978.99,0.39,100,6.28,6.28,0,4,6.42,1243.76,1.33,1.76,215,0,0,11.44,0.39
01.01.2021 07:10:00,979.1,0.4,100,6.29,6.29,0,4,6.42,1243.86,1.53,2.15,198.3,0,0,11.45,0.4
01.01.2021 07:20:00,979.19,0.4,100,6.29,6.29,0,4,6.42,1243.97,1.17,2.24,188.3,0,0,11.46,0.4
01.01.2021 07:30:00,979.24,0.44,100,6.31,6.31,0,4.02,6.44,1243.82,1.08,1.78,192.3,0,0,11.49,0.44
01.01.2021 07:40:00,979.29,0.5,100,6.33,6.33,0,4.03,6.47,1243.61,1,1.69,199.1,0,0,11.54,0.5
01.01.2021 07:50:00,979.37,0.52,100,6.34,6.34,0,4.04,6.48,1243.61,1.27,1.83,200.2,0,0,11.59,0.52
01.01.2021 08:00:00,979.47,0.51,100,6.34,6.34,0,4.04,6.47,1243.77,1.43,1.95,193.6,0,0,11.65,0.51
01.01.2021 08:10:00,979.57,0.52,100,6.34,6.34,0,4.04,6.48,1243.87,1.12,1.62,193.7,0,1.05,11.69,0.52
01.01.2021 08:20:00,979.64,0.56,100,6.36,6.36,0,4.05,6.49,1243.77,1.12,1.8,193.2,0.27,2.86,11.74,0.56
01.01.2021 08:30:00,979.75,0.57,100,6.37,6.37,0,4.05,6.5,1243.85,0.77,1.34,188.9,1,5.57,11.8,0.57
01.01.2021 08:40:00,979.83,0.72,100,6.43,6.43,0,4.09,6.57,1243.26,0.63,1.26,181.9,2.27,10.14,11.86,0.72
01.01.2021 08:50:00,979.85,0.75,100,6.45,6.45,0,4.11,6.58,1243.11,0.64,1.15,156.6,6.46,23.28,11.93,0.75
01.01.2021 09:00:00,979.89,0.95,100,6.55,6.55,0,4.17,6.68,1242.21,0.65,1.23,140.7,15.78,50.73,12.01,0.95
01.01.2021 09:10:00,979.99,0.8,100,6.47,6.47,0,4.12,6.6,1243.09,1.03,1.93,189.5,23.06,72.4,12.09,0.8
01.01.2021 09:20:00,980.14,0.6,100,6.38,6.38,0,4.06,6.51,1244.2,1.15,2.14,191,32.38,94.45,12.15,0.6
01.01.2021 09:30:00,980.3,0.57,100,6.37,6.37,0,4.05,6.5,1244.55,0.78,1.5,158.9,26.12,74.36,12.19,0.57
01.01.2021 09:40:00,980.4,0.73,100,6.44,6.44,0,4.1,6.57,1243.91,0.44,0.77,152.6,23.11,65.66,12.25,0.73
01.01.2021 09:50:00,980.49,0.8,100,6.47,6.47,0,4.12,6.6,1243.71,0.45,0.81,158.1,23.12,72.06,12.31,0.8
01.01.2021 10:00:00,980.55,0.81,100,6.48,6.48,0,4.12,6.61,1243.72,0.95,1.93,185.1,28.02,84.29,12.38,0.81
01.01.2021 10:10:00,980.61,0.65,100,6.4,6.4,0,4.07,6.53,1244.57,1.39,1.95,206.4,34.77,96.07,12.44,0.65
01.01.2021 10:20:00,980.69,0.51,100,6.34,6.34,0,4.03,6.46,1245.36,1.72,2.55,201.3,42.81,112.67,12.48,0.51
01.01.2021 10:30:00,980.78,0.52,100,6.34,6.34,0,4.03,6.47,1245.4,0.98,1.85,183,52.55,136.69,12.49,0.52
01.01.2021 10:40:00,980.86,0.76,100,6.46,6.46,0,4.1,6.58,1244.34,1.12,2.16,179.9,55.7,136.07,12.52,0.76
01.01.2021 10:50:00,980.9,0.95,100,6.55,6.55,0,4.16,6.67,1243.49,0.75,1.61,206.8,63.58,147.25,12.58,0.95
01.01.2021 11:00:00,980.92,1.16,100,6.64,6.64,0,4.22,6.77,1242.53,0.47,0.9,210.5,95.66,209.39,12.65,1.16
01.01.2021 11:10:00,980.98,1.34,99.8,6.75,6.73,0.01,4.28,6.86,1241.61,0.92,1.58,175.2,81.89,180.73,12.75,1.37
01.01.2021 11:20:00,981.06,1.16,100,6.64,6.64,0,4.22,6.77,1242.72,0.9,1.54,205.5,85.18,179.77,12.86,1.16
01.01.2021 11:30:00,981.12,1.27,100,6.7,6.7,0,4.26,6.83,1242.24,0.83,1.93,167.9,93.66,195.42,12.96,1.27
01.01.2021 11:40:00,981.11,1.49,99.8,6.82,6.8,0.01,4.32,6.93,1241.09,1.16,2.37,163.6,121.28,246.95,13.06,1.52
01.01.2021 11:50:00,981.09,1.54,98.6,6.93,6.83,0.1,4.34,6.96,1240.03,1,2.27,185.3,104.16,214.73,13.18,1.74
01.01.2021 12:00:00,981.04,1.61,98.8,6.95,6.86,0.08,4.36,7,1239.79,0.75,1.11,207.2,94.54,198.2,13.32,1.78
01.01.2021 12:10:00,980.98,1.66,99,6.96,6.89,0.07,4.38,7.02,1239.59,0.78,1.13,206.5,115.78,236.69,13.47,1.8
01.01.2021 12:20:00,980.95,1.81,99.2,7.02,6.96,0.06,4.43,7.1,1238.99,0.8,1.36,197.2,99.28,204.16,13.63,1.92
01.01.2021 12:30:00,980.95,1.93,99.4,7.06,7.02,0.04,4.46,7.16,1238.54,0.57,1.1,186.8,90.5,187.71,13.79,2.01
01.01.2021 12:40:00,980.93,1.99,99.6,7.08,7.05,0.03,4.48,7.19,1238.37,0.81,1.27,201.7,81.73,170.71,13.94,2.04
01.01.2021 12:50:00,981,2.03,99.7,7.09,7.07,0.02,4.5,7.21,1238.33,0.56,0.96,238.8,74.6,156.15,14.06,2.07
01.01.2021 13:00:00,981.02,2.1,99.4,7.15,7.11,0.04,4.52,7.24,1237.83,0.69,1.45,212.5,77.48,162.62,14.15,2.18
01.01.2021 13:10:00,981.02,2.14,98.5,7.24,7.13,0.11,4.53,7.27,1237.06,0.6,1.18,117.1,91.43,188.61,14.22,2.35
01.01.2021 13:20:00,981.01,2.28,98.5,7.31,7.2,0.11,4.58,7.34,1236.4,0.68,1.2,150.7,102.45,207.84,14.29,2.49
01.01.2021 13:30:00,981.06,2.29,98.4,7.32,7.21,0.12,4.58,7.35,1236.32,0.7,1.08,198.7,99.05,201.7,14.38,2.52
01.01.2021 13:40:00,981.11,2.21,98.2,7.29,7.16,0.13,4.55,7.3,1236.66,0.9,1.39,211.2,91.24,186.66,14.49,2.46
01.01.2021 13:50:00,981.1,2.31,97.8,7.38,7.21,0.16,4.59,7.35,1235.92,0.38,0.73,250.3,90.39,184.52,14.61,2.62
01.01.2021 14:00:00,981.21,2.34,97.7,7.4,7.23,0.17,4.6,7.37,1235.82,1.04,1.46,199.5,66.49,137.94,14.71,2.67
01.01.2021 14:10:00,981.34,2.27,98.7,7.29,7.19,0.09,4.57,7.33,1236.99,1.09,1.42,213.1,47.46,99.9,14.8,2.45
01.01.2021 14:20:00,981.38,2.15,97.8,7.3,7.14,0.16,4.54,7.27,1237,0.76,1.16,208.9,50.62,104.94,14.85,2.46
01.01.2021 14:30:00,981.41,2.04,96.4,7.34,7.08,0.26,4.5,7.21,1236.67,0.86,1.17,206.6,53.85,110.29,14.86,2.55
01.01.2021 14:40:00,981.5,2.1,96.7,7.35,7.11,0.24,4.52,7.24,1236.69,0.87,1.34,217.8,45.39,93.47,14.87,2.57
01.01.2021 14:50:00,981.57,2.07,96.7,7.34,7.1,0.24,4.51,7.23,1236.91,0.99,1.28,218.1,28.14,60.24,14.86,2.54
01.01.2021 15:00:00,981.59,1.99,96.1,7.34,7.05,0.29,4.48,7.19,1236.94,0.53,0.9,237.6,19.82,43.55,14.83,2.55
01.01.2021 15:10:00,981.68,2,96,7.35,7.06,0.29,4.49,7.19,1236.92,0.84,1.15,221.3,16.28,35.04,14.79,2.57
01.01.2021 15:20:00,981.78,2,95.9,7.36,7.06,0.3,4.49,7.19,1236.98,0.74,1.2,210.3,13.24,28.43,14.74,2.59
01.01.2021 15:30:00,981.84,1.95,95.3,7.38,7.03,0.35,4.47,7.16,1236.92,0.71,1.39,211.6,11.02,24.01,14.69,2.62
01.01.2021 15:40:00,981.88,1.89,95.2,7.35,7,0.35,4.45,7.13,1237.2,0.82,1.23,198.5,7.93,19.32,14.64,2.57
01.01.2021 15:50:00,981.96,2.08,97,7.32,7.1,0.22,4.51,7.23,1237.55,0.98,1.77,245.6,6.64,16.38,14.6,2.51
01.01.2021 16:00:00,982.04,2.05,96.7,7.33,7.09,0.24,4.5,7.21,1237.6,0.81,1.39,269.9,4.48,11.08,14.54,2.52
01.01.2021 16:10:00,982.09,1.96,95.7,7.36,7.04,0.32,4.47,7.17,1237.43,0.66,0.9,218.8,3.24,7.87,14.47,2.58
01.01.2021 16:20:00,982.13,1.89,95.5,7.33,7,0.33,4.45,7.13,1237.69,0.36,0.62,213.5,1.65,4.6,14.4,2.54
01.01.2021 16:30:00,982.17,1.93,95.7,7.34,7.02,0.32,4.46,7.15,1237.68,0.47,0.71,211.3,0.49,2.09,14.35,2.55
01.01.2021 16:40:00,982.24,2.12,96.8,7.36,7.12,0.24,4.52,7.25,1237.58,0.35,0.76,84.3,0,0,14.31,2.58
01.01.2021 16:50:00,982.33,2.19,97.3,7.35,7.15,0.2,4.54,7.28,1237.71,1.06,1.56,15.22,0,0,14.26,2.57
01.01.2021 17:00:00,982.38,2.29,98,7.35,7.21,0.15,4.58,7.34,1237.74,0.76,1.45,24.8,0,0,14.18,2.57
01.01.2021 17:10:00,982.49,2.29,97.7,7.38,7.21,0.17,4.57,7.33,1237.69,0.27,0.75,351.9,0,0,14.07,2.62
01.01.2021 17:20:00,982.52,2.23,98.3,7.3,7.17,0.12,4.55,7.3,1238.42,0.72,1.04,253.3,0,0,13.98,2.47
01.01.2021 17:30:00,982.59,2.18,98.6,7.25,7.15,0.1,4.54,7.28,1238.9,0.41,0.81,348.5,0,0,13.92,2.38
01.01.2021 17:40:00,982.65,2.11,98,7.26,7.11,0.15,4.52,7.24,1238.93,0.41,0.74,28.92,0,0,13.88,2.39
01.01.2021 17:50:00,982.75,2.12,97.9,7.27,7.12,0.15,4.52,7.24,1238.97,0.42,0.83,338.7,0,0,13.84,2.41
01.01.2021 18:00:00,982.85,2.03,97.6,7.25,7.08,0.17,4.49,7.2,1239.3,0.55,1.04,267.8,0,0,13.8,2.37
01.01.2021 18:10:00,982.89,2,98,7.2,7.06,0.14,4.48,7.18,1239.78,0.71,1.54,241,0,0,13.77,2.28
01.01.2021 18:20:00,982.92,1.94,98.1,7.16,7.03,0.14,4.46,7.15,1240.15,0.75,1.57,212.6,0,0,13.74,2.21
01.01.2021 18:30:00,982.96,1.92,98.4,7.13,7.02,0.11,4.45,7.14,1240.51,0.82,1.36,201.7,0,0,13.72,2.14
01.01.2021 18:40:00,983.02,1.93,99.5,7.06,7.02,0.04,4.46,7.15,1241.2,0.8,1.23,239.4,0,0,13.7,2
01.01.2021 18:50:00,983.04,1.88,99.1,7.06,7,0.06,4.44,7.12,1241.21,0.6,1.01,236.8,0,0,13.68,2.01
01.01.2021 19:00:00,983.1,1.83,99,7.05,6.97,0.07,4.42,7.09,1241.46,0.63,0.91,215.9,0,0,13.65,1.97
01.01.2021 19:10:00,983.18,1.79,99,7.02,6.95,0.07,4.41,7.07,1241.76,0.65,0.87,214.8,0,0,13.63,1.93
01.01.2021 19:20:00,983.26,1.78,99,7.02,6.95,0.07,4.41,7.06,1241.93,0.45,0.89,235.6,0,0,13.62,1.92
01.01.2021 19:30:00,983.35,1.66,98.3,7.01,6.89,0.12,4.37,7,1242.17,0.68,1.3,208.9,0,0,13.61,1.9
01.01.2021 19:40:00,983.5,1.69,98.9,6.98,6.9,0.08,4.38,7.02,1242.58,1.01,1.82,205.5,0,0,13.6,1.85
01.01.2021 19:50:00,983.67,1.53,99.3,6.87,6.83,0.05,4.33,6.94,1243.8,0.9,1.75,220,0,0,13.58,1.63
01.01.2021 20:00:00,983.69,1.37,99.9,6.75,6.74,0.01,4.28,6.86,1245,1,1.36,227.3,0,0,13.54,1.38
01.01.2021 20:10:00,983.8,1.32,100,6.72,6.72,0,4.26,6.83,1245.44,0.71,0.99,220.1,0,0,13.49,1.32
01.01.2021 20:20:00,983.97,1.32,100,6.72,6.72,0,4.26,6.83,1245.63,0.76,1.33,234.4,0,0,13.42,1.32
01.01.2021 20:30:00,984.08,1.31,99.9,6.72,6.72,0.01,4.26,6.83,1245.75,1.36,1.91,247.9,0,0,13.37,1.33
01.01.2021 20:40:00,984.15,1,96.8,6.78,6.57,0.22,4.16,6.67,1245.36,0.87,1.23,335.9,0,0,13.3,1.45
01.01.2021 20:50:00,984.21,0.97,96.1,6.82,6.55,0.27,4.15,6.66,1245.13,0.52,1.04,250.3,0,0,13.22,1.52
01.01.2021 21:00:00,984.33,1.03,97,6.78,6.58,0.2,4.17,6.69,1245.59,1.01,1.37,236.9,0,0,13.14,1.45
01.01.2021 21:10:00,984.41,0.98,97.7,6.71,6.56,0.15,4.15,6.66,1246.35,1.58,2.01,246.3,0,0,13.09,1.3
01.01.2021 21:20:00,984.51,0.81,95.8,6.76,6.48,0.28,4.1,6.58,1246.05,1.69,1.95,253.1,0,0,13.05,1.41
01.01.2021 21:30:00,984.61,0.88,95.5,6.82,6.51,0.31,4.12,6.61,1245.68,1.3,1.64,248.5,0,0,12.99,1.51
01.01.2021 21:40:00,984.66,1.04,97.4,6.76,6.59,0.18,4.17,6.69,1246.2,0.8,1.39,357.2,0,0,12.93,1.41
01.01.2021 21:50:00,984.74,1.14,98.3,6.75,6.64,0.11,4.2,6.74,1246.38,0.26,0.78,1.68,0,0,12.85,1.38
01.01.2021 22:00:00,984.78,1,96.8,6.79,6.57,0.22,4.16,6.67,1246.14,0.91,1.23,251.9,0,0,12.77,1.45
01.01.2021 22:10:00,984.83,0.99,95.9,6.84,6.56,0.28,4.15,6.66,1245.69,1,1.36,258.1,0,0,12.7,1.57
01.01.2021 22:20:00,984.87,0.97,96.4,6.8,6.55,0.24,4.15,6.65,1246.14,1.31,1.73,241,0,0,12.66,1.48
01.01.2021 22:30:00,984.94,0.99,97.4,6.74,6.56,0.18,4.16,6.66,1246.79,0.67,1.2,234.1,0,0,12.62,1.36
01.01.2021 22:40:00,985.02,1.23,99.6,6.71,6.68,0.03,4.23,6.78,1247.13,0.46,1.17,74.84,0,0,12.58,1.29
01.01.2021 22:50:00,985.06,1.19,100,6.66,6.66,0,4.21,6.76,1247.66,0.55,1.13,282.3,0,0,12.53,1.19
01.01.2021 23:00:00,985.05,1.02,99,6.65,6.58,0.07,4.17,6.68,1247.79,0.6,1.01,268.2,0,0,12.48,1.16
01.01.2021 23:10:00,985.1,0.96,98.4,6.66,6.55,0.11,4.15,6.65,1247.78,0.6,1.27,248.2,0,0,12.44,1.18
01.01.2021 23:20:00,985.12,1.14,99.6,6.66,6.64,0.03,4.2,6.74,1247.69,0.2,0.38,41.02,0,0,12.41,1.2
01.01.2021 23:30:00,985.15,1.07,99,6.67,6.6,0.07,4.18,6.7,1247.68,0.51,1.49,234.9,0,0,12.39,1.21
01.01.2021 23:40:00,985.22,1.07,99.7,6.62,6.6,0.02,4.18,6.7,1248.22,0.42,0.93,345.2,0,0,12.38,1.12
01.01.2021 23:50:00,985.25,1.02,100,6.58,6.58,0,4.16,6.67,1248.71,0.39,0.88,358.9,0,0,12.36,1.02
02.01.2021 00:00:00,985.27,1,100,6.57,6.57,0,4.16,6.66,1248.84,0.38,0.68,21.17,0,0,12.34,1
02.01.2021 00:10:00,985.34,0.97,100,6.55,6.55,0,4.15,6.65,1249.04,1.01,1.52,232.7,0,0,12.31,0.97
02.01.2021 00:20:00,985.38,0.8,100,6.47,6.47,0,4.1,6.57,1249.93,0.82,1.33,231.5,0,0,12.29,0.8
02.01.2021 00:30:00,985.39,0.84,100,6.49,6.49,0,4.11,6.59,1249.72,0.78,1.27,212.8,0,0,12.28,0.84
02.01.2021 00:40:00,985.43,0.85,100,6.5,6.5,0,4.11,6.59,1249.72,0.67,0.95,204.5,0,0,12.28,0.85
02.01.2021 00:50:00,985.48,0.9,100,6.52,6.52,0,4.13,6.62,1249.57,0.63,1.04,261.4,0,0,12.29,0.9
02.01.2021 01:00:00,985.49,0.99,100,6.56,6.56,0,4.15,6.66,1249.16,0.33,0.59,253.3,0,0,12.31,0.99
02.01.2021 01:10:00,985.48,1.01,100,6.57,6.57,0,4.16,6.67,1249.04,0.62,1.12,294.1,0,0,12.32,1.01
02.01.2021 01:20:00,985.54,0.93,99.2,6.59,6.54,0.05,4.14,6.63,1248.97,0.6,0.98,274.4,0,0,12.33,1.05
02.01.2021 01:30:00,985.58,0.48,95.2,6.64,6.32,0.32,4,6.42,1248.62,0.54,1.02,22.43,0,0,12.33,1.16
02.01.2021 01:40:00,985.64,0.94,98.2,6.66,6.54,0.12,4.14,6.63,1248.45,0.91,1.33,35.06,0,0,12.31,1.19
02.01.2021 01:50:00,985.75,1.06,99.8,6.61,6.6,0.01,4.17,6.69,1249.03,0.66,0.92,90,0,0,12.26,1.09
02.01.2021 02:00:00,985.8,1.01,99.9,6.58,6.57,0.01,4.16,6.67,1249.38,0.46,0.74,127,0,0,12.21,1.02
02.01.2021 02:10:00,985.84,1.11,98.8,6.7,6.62,0.08,4.19,6.72,1248.24,0.26,0.55,62.19,0,0,12.18,1.28
02.01.2021 02:20:00,985.91,1.11,98.6,6.71,6.62,0.09,4.19,6.71,1248.22,0.35,0.54,66,0,0,12.18,1.31
02.01.2021 02:30:00,985.96,0.98,99.3,6.61,6.56,0.05,4.15,6.65,1249.35,0.33,0.93,0.2,0,0,12.19,1.08
02.01.2021 02:40:00,986.03,0.88,99.5,6.54,6.51,0.03,4.12,6.6,1250.04,0.7,1.03,221.8,0,0,12.21,0.95
02.01.2021 02:50:00,986.04,0.6,97.9,6.52,6.38,0.14,4.04,6.47,1250.37,0.97,1.54,240.2,0,0,12.22,0.9
02.01.2021 03:00:00,986.06,0.74,99.1,6.5,6.44,0.06,4.07,6.53,1250.52,1.07,1.51,216.4,0,0,12.23,0.86
02.01.2021 03:10:00,986.1,0.74,99.4,6.49,6.45,0.04,4.08,6.54,1250.73,0.91,1.71,236.7,0,0,12.23,0.83
02.01.2021 03:20:00,986.11,0.62,98.2,6.51,6.39,0.12,4.04,6.48,1250.57,0.9,1.36,250.4,0,0,12.22,0.87
02.01.2021 03:30:00,986.05,0.41,96.6,6.51,6.29,0.22,3.98,6.38,1250.48,1.12,1.77,229.3,0,0,12.21,0.88
02.01.2021 03:40:00,986.08,0.56,97.9,6.5,6.36,0.14,4.02,6.45,1250.61,0.78,1.62,223.2,0,0,12.2,0.86
02.01.2021 03:50:00,986.12,0.53,98.6,6.44,6.35,0.09,4.01,6.44,1251.25,1.5,1.89,223.7,0,0,12.19,0.73
02.01.2021 04:00:00,986.17,0.62,99.7,6.41,6.39,0.02,4.04,6.48,1251.59,1.21,1.79,214.5,0,0,12.16,0.66
02.01.2021 04:10:00,986.19,0.6,100,6.38,6.38,0,4.03,6.47,1251.92,1.51,2.05,201.8,0,0,12.14,0.6
02.01.2021 04:20:00,986.17,0.55,100,6.36,6.36,0,4.02,6.44,1252.14,1.48,2.15,198.3,0,0,12.11,0.55
02.01.2021 04:30:00,986.15,0.51,100,6.34,6.34,0,4.01,6.43,1252.3,1.01,1.53,209,0,0,12.07,0.51
02.01.2021 04:40:00,986.2,0.55,100,6.36,6.36,0,4.02,6.45,1252.16,0.96,1.55,181.2,0,0,12.03,0.55
02.01.2021 04:50:00,986.28,0.55,100,6.36,6.36,0,4.02,6.44,1252.27,0.82,1.54,181.7,0,0,12.02,0.55
02.01.2021 05:00:00,986.23,0.51,100,6.34,6.34,0,4.01,6.43,1252.37,1.79,2.77,167.6,0,0,12.02,0.51
02.01.2021 05:10:00,986.13,0.5,100,6.33,6.33,0,4.01,6.42,1252.31,1.62,3.04,193.9,0,0,12.02,0.5
02.01.2021 05:20:00,986.11,0.46,100,6.32,6.32,0,3.99,6.41,1252.46,0.89,1.61,149.8,0,0,11.99,0.46
02.01.2021 05:30:00,986.19,0.46,100,6.32,6.32,0,3.99,6.4,1252.58,1.62,2.96,140.5,0,0,11.97,0.46
02.01.2021 05:40:00,986.21,0.47,100,6.32,6.32,0,4,6.41,1252.55,1.14,2.64,169.9,0,0,11.97,0.47
02.01.2021 05:50:00,986.26,0.49,100,6.33,6.33,0,4,6.42,1252.52,1.51,2.59,138.6,0,0,11.97,0.49
02.01.2021 06:00:00,986.26,0.43,100,6.3,6.3,0,3.98,6.39,1252.81,0.72,1.32,137.1,0,0,11.97,0.43
02.01.2021 06:10:00,986.28,0.57,100,6.36,6.36,0,4.02,6.45,1252.19,0.54,1.54,75.4,0,0,11.98,0.57
02.01.2021 06:20:00,986.37,0.51,100,6.34,6.34,0,4.01,6.43,1252.56,0.64,1.02,75.01,0,0,11.99,0.51
02.01.2021 06:30:00,986.4,0.61,100,6.39,6.39,0,4.04,6.47,1252.12,0.54,0.98,144.9,0,0,11.96,0.61
02.01.2021 06:40:00,986.47,0.56,100,6.36,6.36,0,4.02,6.45,1252.47,0.5,0.74,196,0,0,11.94,0.56
02.01.2021 06:50:00,986.57,0.48,99.9,6.33,6.33,0.01,4,6.41,1252.9,1.21,1.79,190.6,0,0,11.95,0.5
02.01.2021 07:00:00,986.59,0.54,100,6.35,6.35,0,4.02,6.44,1252.69,1.06,1.64,206.3,0,0,11.97,0.54
02.01.2021 07:10:00,986.57,0.67,100,6.41,6.41,0,4.05,6.5,1252.05,0.35,0.88,148.4,0,0,11.99,0.67
02.01.2021 07:20:00,986.63,0.7,100,6.42,6.42,0,4.06,6.51,1252.01,0.81,1.45,230.7,0,0,12.01,0.7
02.01.2021 07:30:00,986.71,0.61,100,6.39,6.39,0,4.04,6.47,1252.51,0.94,1.49,223.3,0,0,12.03,0.61
